"602191259558621184","Just build an importer and a search frontend in #PHP importing 15k json objects using #Elasticsearch in under an hour...cool tech.","Sun May 24 00:45:59 IST 2015","Maarten","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
"602192629124718592","RT @Maarteuh: Just build an importer and a search frontend in #PHP importing 15k json objects using #Elasticsearch in under an hour...cool …","Sun May 24 00:51:25 IST 2015","search-tech-bot","<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"
"602201532671631360","RT @ElasticNews: Centralized System and Docker Logging with ELK Stack: http://t.co/oQrPdKCVTZ #elasticsearch #LogStash #Kibana","Sun May 24 01:26:48 IST 2015","Saku Pietilä","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"602201569929592833","RT @jpaakko: Using the ELK stack for logging Docker containers: http://t.co/C4uCikSypj #DevOps #Docker #logging #ElasticSearch #LogStash #K…","Sun May 24 01:26:57 IST 2015","Saku Pietilä","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"600389255660187648","@elastic @AdaptiveMoab Wrangling #HPC Logs with logstash | MoabCon 2014 https://t.co/B3gPBKtOuN   #devops #kibana","Tue May 19 01:25:27 IST 2015","Walid A. Shaari","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
"600401799338696704","We compared #kibana vs #loggly - see results: http://t.co/xrWKAhZobk","Tue May 19 02:15:18 IST 2015","TechWars","<a href=""http://www.techwars.io"" rel=""nofollow"">TechWars</a>"
"600450937187106819","Why You Should Upgrade to #Kibana 4 in #ELKstack by @AsafYigal at @logzio: http://t.co/JzQym64dMr #devops http://t.co/ifeeKQn2qG","Tue May 19 05:30:33 IST 2015","Samuel Scott","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>"
"600452075277914112","RT @samueljscott: Why You Should Upgrade to #Kibana 4 in #ELKstack by @AsafYigal at @logzio: http://t.co/JzQym64dMr #devops http://t.co/ife…","Tue May 19 05:35:05 IST 2015","search-tech-bot","<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"
"600606442043920384","Centralized System and Docker Logging with ELK Stack http://t.co/KTOO8UyYLK #Docker #Vagrant #ElasticSearch #LogStash #Kibana #Ansible","Tue May 19 15:48:29 IST 2015","Max Chiu ","<a href=""https://bitly.com/"" rel=""nofollow"">Bitly</a>"
"600614788020994048","RT @rmoff: #Kibana 4.1 enables display of images and URLs inline. Love it! http://t.co/TqpSqi9LsR","Tue May 19 16:21:39 IST 2015","Carlotta.Mccutcheon","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
"600657547545210880","Monitoring Micro-Service Architectures by @zohararad http://t.co/nmy9j7KRZP #sensu #kibana #logstash #elasticsearch","Tue May 19 19:11:33 IST 2015","Marcos Martínez","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
"600659980560310273","Analyzing Weblogs with Elasticsearch in the Cloud: http://t.co/SyJNyHD6mD #elasticsearch #kibana #logstash","Tue May 19 19:21:13 IST 2015","Elasticsearch News","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
